family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
repoqa,hybrid,0.1,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.17921289440175278,2115.5951622252664,6102.7266666666665,8218.321828891934,4.532704964180037
summ_probe,last,0.5,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6,0.5423466304955512,532.3224890356263,18415.255444444443,18947.57793348007,1.8504809750278934
summ_probe,last,0.35,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.40906250320208604,537.9916639584634,13542.125444444444,14080.117108402908,2.4520910032358603
summ_probe,last,0.25,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.3196350100794608,529.3580068068372,10344.637111111113,10873.995117917948,3.1362444035341253
summ_probe,last,0.15,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.2271414486662822,528.8756044788493,7132.766555555555,7661.642160034404,4.3951023288606335
summ_probe,last,0.1,9,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666,3,0.18040638401208398,527.017155662179,5568.7335555555555,6095.7507112177345,5.500461909545978
summ_probe,random,0.5,9,0.6666666666666666,0.6666666666666666,0.4444444444444444,1.0,4,0.5573878668397062,528.1701889923877,18860.89022222222,19389.06041121461,1.8055100965904296
summ_probe,random,0.35,9,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,3,0.4176735554964451,529.3616527277562,13850.599777777776,14379.961430505533,2.409296036734485
summ_probe,random,0.25,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.3282144261597812,531.8673535560569,10607.357222222223,11139.22457577828,3.0625391294563884
summ_probe,random,0.15,9,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666,3,0.2341543110220108,529.8274310512675,7342.479777777778,7872.3072088290455,4.2819630885945275
summ_probe,random,0.1,9,0.2222222222222222,0.2222222222222222,0.1111111111111111,1.0,1,0.18511812340818076,532.8014279819197,5702.513666666667,6235.315094648588,5.374317986559948
summ_probe,lexical,0.5,9,1.0,1.0,1.0,1.0,9,0.5494528990141625,528.3403342796696,18570.765333333333,19099.105667613003,1.8316697679998764
summ_probe,lexical,0.35,9,1.0,1.0,1.0,1.0,9,0.41433330846010785,534.7243250451154,13646.055333333334,14180.77965837845,2.431218205958427
summ_probe,lexical,0.25,9,1.0,1.0,1.0,1.0,9,0.3244960902495999,536.5803005794684,10465.692777777778,11002.273078357246,3.098021084352796
summ_probe,lexical,0.15,9,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,9,0.23243753297584865,538.8959711417556,7277.833999999999,7816.7299711417545,4.309115494801919
summ_probe,lexical,0.1,9,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,9,0.18428556785545502,534.6784853479928,5700.832777777778,6235.51126312577,5.37737520472098
summ_probe,embed,0.5,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.5572236548319379,695.5596517978443,18894.849555555556,19590.4092073534,1.7903060061503195
summ_probe,embed,0.35,9,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.875,8,0.42071752938824947,693.2996552851465,13925.397111111111,14618.69676639626,2.365106174692804
summ_probe,embed,0.25,9,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.8333333333333334,6,0.3292538671662848,697.2087360918522,10658.888333333332,11356.097069425185,3.009527379567734
summ_probe,embed,0.15,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,2,0.23279325275604412,702.173031349149,7319.053777777777,8021.226809126926,4.207231710200805
summ_probe,embed,0.1,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,2,0.1863891572698576,695.60555772235,5738.666777777778,6434.272335500128,5.21099475119424
summ_probe,hybrid,0.5,9,1.0,1.0,1.0,1.0,9,0.5572642740047201,699.3522489857343,18889.701222222226,19589.053471207957,1.7909319638233252
summ_probe,hybrid,0.35,9,1.0,1.0,1.0,1.0,9,0.41884051280258294,698.8500111425916,13859.293222222223,14558.143233364814,2.3773417265331602
summ_probe,hybrid,0.25,9,1.0,1.0,1.0,1.0,9,0.32781288686307064,700.281706535154,10592.130000000001,11292.411706535155,3.024228849982428
summ_probe,hybrid,0.15,9,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,9,0.23401867257205847,705.9119004342291,7351.709666666667,8057.621567100896,4.185279607379919
summ_probe,hybrid,0.1,9,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,9,0.18555336956011792,702.2648858320382,5702.481222222223,6404.746108054261,5.238534610108864
